path,epoch,train_loss,train_action_accuracy,train_route_accuracy,valid_loss,valid_action_accuracy,valid_route_accuracy,seconds_per_epoch,study_name,trial_number,config_hash,n_epochs,gradient_norm,learning_rate,is_best,epochs_without_improvement,n_lr_reductions,best_valid_route_accuracy,elapsed_seconds,timestamp
hypertune-large-emma-24-26_layer/trial_000/train_progress.jsonl,1,0.1615621049294766,0.3202587529806171,0.07481870583860172,0.1676008256388382,0.29505819500095404,0.057867543447628,3743.834402322769,large-emma-24-26_layer,0.0,1680ec71,150.0,1.3470777454737568,0.0005985068005941869,True,0.0,0.0,0.057867543447628,7516.479604721069,2026-06-19T22:20:13.221200+00:00
hypertune-large-nonuniform-dropout-12-layers/trial_000/train_progress.jsonl,91,0.010822895162438522,0.34952900347050075,0.0738773707698029,0.04742806586910954,0.31326082808624306,0.06369187411930484,121.2306923866272,,,,,,,,,,,,
hypertune-large-nonuniform-dropout-12-layers/trial_001/train_progress.jsonl,95,0.010382260123754096,0.35818872913568006,0.07767757530680551,0.04614306159016347,0.31410036252623547,0.06265852512916863,117.82006740570068,,,,,,,,,,,,
hypertune-large-nonuniform-dropout-12-layers/trial_002/train_progress.jsonl,36,0.04773723119980044,0.30229714096843496,0.06043138713276311,0.08130465539361903,0.2897920244228201,0.058055425082198214,120.4598274230957,,,,,,,,,,,,
hypertune-nodropout-baseline/trial_000/train_progress.jsonl,17,0.011021144555839286,0.20474027731825428,0.04562321173104435,0.053142786014913804,0.20112387821856914,0.04345393509884372,9.468147039413452,,,,,,,,,,,,
hypertune-nodropout-baseline/trial_001/train_progress.jsonl,19,0.628465624018149,0.19947664450927904,0.04468437052932761,0.591073272838479,0.19953031955044873,0.044199925400969786,8.931432962417603,,,,,,,,,,,,
hypertune-nodropout-baseline/trial_002/train_progress.jsonl,199,0.013756167492829263,0.3424770154700675,0.09806419885550786,0.03978334492560299,0.31007296821269814,0.08541588959343528,49.02688527107239,,,,,,,,,,,,
hypertune-nodropout-baseline/trial_003/train_progress.jsonl,81,0.07863899345763704,0.3416147822861211,0.10532904148783977,0.11467059843596958,0.33095697391596074,0.10350615441999254,6.674705982208252,,,,,,,,,,,,
hypertune-nodropout-sd/trial_000/train_progress.jsonl,33,0.00871397565325341,0.21241014226847535,0.044103183118741056,0.04791409615981614,0.18292376079845676,0.03655352480417755,20.04747748374939,,,,,,,,,,,,
hypertune-nodropout-sd/trial_001/train_progress.jsonl,199,0.021452338773418556,0.3118978153417351,0.08107564377682404,0.04357623394268254,0.2813050406776818,0.06844461022006713,33.67579531669617,,,,,,,,,,,,
hypertune-retrosynformer_hypertune/trial_000/train_progress.jsonl,28,0.00814942299575974,0.1213022640885804,0.00803040163629602,0.06037545979509554,0.11024613623354322,0.0062940347581023955,22.628681659698486,,,,,,,,,,,,
hypertune-small-nonuniform-dropout-101/trial_000/train_progress.jsonl,49,0.023061869454316118,0.3822400016041548,0.12681062231759657,0.05154004136455201,0.36341524784030865,0.12532637075718014,48.58651685714722,,,,,,,,,,,,
hypertune-small-nonuniform-dropout-101/trial_001/train_progress.jsonl,49,0.02337773708330298,0.37537221403434895,0.12287643061516453,0.05137213221972897,0.3609829740837038,0.12308839985080194,49.13560652732849,,,,,,,,,,,,
hypertune-small-nonuniform-dropout-101/trial_002/train_progress.jsonl,29,0.040943661154332484,0.3693566336812344,0.12104345493562232,0.06891663589825232,0.3536022813050407,0.11935844834017158,48.82079219818115,,,,,,,,,,,,
hypertune-small-nonuniform-dropout-102/trial_000/train_progress.jsonl,49,0.023420659031464973,0.3769462908934139,0.12345761802575107,0.0513229121321014,0.36316363331376333,0.123834390152928,48.73593354225159,,,,,,,,,,,,
hypertune-small-nonuniform-dropout/trial_000/train_progress.jsonl,49,0.02337765214245089,0.37538224000160414,0.12289878397711015,0.05137229719687076,0.3608152310660069,0.12308839985080194,49.18651986122131,,,,,,,,,,,,
hypertune-small-nonuniform-dropout/trial_001/train_progress.jsonl,11,0.12007942093028263,0.34259732707712975,0.10919617310443491,0.13731088223201887,0.33565377841147365,0.10798209623274897,49.01894283294678,,,,,,,,,,,,
hypertune-small_baseline/trial_000/train_progress.jsonl,27,0.010046072970991108,0.24267853741189682,0.053312768240343346,0.050072325144096146,0.2351757108110375,0.05371130175307721,9.15341830253601,,,,,,,,,,,,
hypertune-small_baseline/trial_001/train_progress.jsonl,24,0.014873361384326761,0.2449243540770596,0.05226216022889842,0.05610407447896987,0.24255640358970057,0.05613577023498695,9.175817728042603,,,,,,,,,,,,
hypertune-small_baseline/trial_002/train_progress.jsonl,75,0.022095658170821316,0.3456452211227078,0.1057761087267525,0.07119572383262926,0.3415247840308647,0.10481163744871316,8.392272233963013,,,,,,,,,,,,
hypertune-small_baseline/trial_003/train_progress.jsonl,146,0.02846473029983992,0.32713728556962535,0.09395118025751073,0.07224500634973603,0.3250020967877212,0.09455427079447967,11.645113229751587,,,,,,,,,,,,
hypertune-small_baseline/trial_004/train_progress.jsonl,24,0.012307348727269775,0.2205512276796904,0.045980865522174535,0.0463011902784707,0.22385305711649753,0.04979485266691533,8.831864356994629,,,,,,,,,,,,
hypertune-small_baseline/trial_005/train_progress.jsonl,29,0.010771441908383911,0.3311476724717017,0.09656652360515021,0.03654792154252175,0.3016019458190053,0.08541588959343528,23.54423952102661,,,,,,,,,,,,
hypertune-small_sd/trial_000/train_progress.jsonl,23,0.01217104503302835,0.23191064857982174,0.05134567238912732,0.04151262433428894,0.21135620229807933,0.038232002983961205,9.096030712127686,,,,,,,,,,,,
